Breed,Stage,Stage_label,Init_WT_kg,Final_WT_kg,ADG_kg_d,ADFI_kg_d,F_G
TFB,15 kg,6-15 kg,6.871,15.045,0.2919285714285714,0.4825579285714286,1.653
TFB,15 kg,6-15 kg,7.914,16.1431071428571,0.2938966836734679,0.46171169005101803,1.571
TFB,15 kg,6-15 kg,7.39,14.928,0.26921428571428574,0.4549721428571429,1.69
TFB,15 kg,6-15 kg,7.683,15.876,0.29260714285714284,0.49216521428571425,1.682
TFB,15 kg,6-15 kg,6.935,15.305000000000001,0.2989285714285715,0.49299847294351906,1.64921830853268
TFB,15 kg,6-15 kg,7.842,16.261821428571427,0.30070790816326526,0.5114258410306087,1.70073957866428
TFB,15 kg,6-15 kg,8.304,17.0028571428571,0.31067346938775353,0.49847065790374107,1.60448415143424
TFB,15 kg,6-15 kg,7.772,16.3800714285714,0.30743112244897863,0.4698891796346986,1.528437250892455
TFB,45 kg,15-45 kg,14.931,47.765,0.5863214285714287,1.3110147142857147,2.236
TFB,45 kg,15-45 kg,15.165,45.559,0.54275,1.27057775,2.341
TFB,45 kg,15-45 kg,14.534,43.361999999999995,0.5147857142857142,1.2179829999999998,2.366
TFB,45 kg,15-45 kg,14.738,42.263000000000005,0.49151785714285723,1.1078812500000002,2.254
TFB,45 kg,15-45 kg,14.495,41.501000000000005,0.4822500000000001,1.1670450000000003,2.42
TFB,45 kg,15-45 kg,14.963,41.480999999999995,0.47353571428571417,1.1260679285714283,2.378
TFB,45 kg,15-45 kg,15.726,44.08,0.5063214285714286,1.2197283214285715,2.409
TFB,45 kg,15-45 kg,15.681,46.73,0.5544464285714286,1.304058,2.352
TFB,75 kg,45-75 kg,45.875,76.157,0.721,2.218517,3.077
TFB,75 kg,45-75 kg,44.176,73.786,0.705,2.22216,3.152
TFB,75 kg,45-75 kg,42.264,71.622,0.699,2.2381979999999997,3.202
TFB,75 kg,45-75 kg,42.263,71.999,0.708,2.191968,3.096
TFB,75 kg,45-75 kg,41.501,70.733,0.696,2.067816,2.971
TFB,75 kg,45-75 kg,41.480999999999995,71.38499999999999,0.712,2.230696,3.133
TFB,75 kg,45-75 kg,43.382,73.328,0.713,2.185345,3.065
TFB,75 kg,45-75 kg,44.51,74.624,0.717,2.1423959999999997,2.988
TFB,105 kg,75-105 kg,74.24,103.38799999999999,0.694,2.405404,3.466
TFB,105 kg,75-105 kg,73.411,102.013,0.681,2.39712,3.52
TFB,105 kg,75-105 kg,72.321,102.292,0.697,2.538474,3.642
TFB,105 kg,75-105 kg,72.578,102.205,0.689,2.410122,3.498
TFB,105 kg,75-105 kg,71.429,100.45400000000001,0.675,2.477925,3.671
TFB,105 kg,75-105 kg,70.968,100.724,0.692,2.5258,3.65
TFB,105 kg,75-105 kg,72.775,102.35900000000001,0.688,2.324064,3.378
TFB,105 kg,75-105 kg,74.341,103.495,0.678,2.413002,3.559
DLY,15 kg,8-15 kg,7.125,13.25,0.4375,0.635714285714286,1.4530612244898
DLY,15 kg,8-15 kg,8.375,15.1875,0.486607142857143,0.714285714285714,1.46788990825688
DLY,15 kg,8-15 kg,7.33333333333333,13.9166666666667,0.470238095238095,0.702380952380952,1.49367088607595
DLY,15 kg,8-15 kg,8.5625,15.375,0.486607142857143,0.689285714285714,1.41651376146789
DLY,15 kg,8-15 kg,8.08333333333333,14.9166666666667,0.488095238095238,0.716071428571429,1.46707317073171
DLY,15 kg,8-15 kg,7.625,13.6875,0.433035714285714,0.633928571428571,1.46391752577319
DLY,15 kg,8-15 kg,8.1875,14.5625,0.455357142857143,0.714285714285714,1.56862745098039
DLY,15 kg,8-15 kg,8.1875,14.8125,0.473214285714286,0.674107142857143,1.42452830188679
DLY,15 kg,8-15 kg,8.1875,14.75,0.46875,0.686160714285714,1.46380952380952
DLY,15 kg,8-15 kg,7.875,14.1875,0.450892857142857,0.654017857142857,1.45049504950495
DLY,15 kg,8-15 kg,8.0625,14.875,0.486607142857143,0.703571428571429,1.44587155963303
DLY,15 kg,8-15 kg,8.125,14.875,0.482142857142857,0.678125,1.40648148148148
DLY,15 kg,8-15 kg,7.875,14.375,0.464285714285714,0.664285714285714,1.43076923076923
DLY,15 kg,8-15 kg,9.125,16.4375,0.522321428571429,0.758482142857143,1.45213675213675
DLY,15 kg,8-15 kg,7.4375,14.5625,0.508928571428571,0.721875,1.41842105263158
DLY,15 kg,8-15 kg,8.75,15.75,0.5,0.747321428571429,1.49464285714286
DLY,15 kg,8-15 kg,7.5625,13.6875,0.4375,0.639732142857143,1.46224489795918
DLY,15 kg,8-15 kg,8.3125,14.875,0.46875,0.663839285714286,1.41619047619048
DLY,15 kg,8-15 kg,7.6875,14.5,0.486607142857143,0.657589285714286,1.35137614678899
DLY,15 kg,8-15 kg,7.64285714285714,14.2142857142857,0.469387755102041,0.6,1.27826086956522
DLY,15 kg,8-15 kg,8.3125,15.25,0.495535714285714,0.681696428571429,1.37567567567568
DLY,15 kg,8-15 kg,8.5625,15.2142857142857,0.475127551020408,0.67,1.41014765100671
DLY,45 kg,15-45 kg,13.25,41.0,0.603260869565217,1.08929347826087,1.80567567567568
DLY,45 kg,15-45 kg,15.1875,45.4375,0.657608695652174,1.20665760869565,1.8349173553719
DLY,45 kg,15-45 kg,13.9166666666667,45.1666666666667,0.679347826086956,1.23876811594203,1.82346666666667
DLY,45 kg,15-45 kg,15.375,47.875,0.706521739130435,1.28233695652174,1.815
DLY,45 kg,15-45 kg,14.9166666666667,47.2,0.701811594202898,1.17880434782609,1.67965926690759
DLY,45 kg,15-45 kg,13.6875,43.8571428571429,0.655861801242236,1.16227872670807,1.77213968629772
DLY,45 kg,15-45 kg,14.5625,47.125,0.707880434782609,1.32241847826087,1.86813819577735
DLY,45 kg,15-45 kg,14.8125,42.2857142857143,0.597243788819876,1.10153338509317,1.84436139096523
DLY,45 kg,15-45 kg,14.75,42.9375,0.612771739130435,1.24470108695652,2.03126385809313
DLY,45 kg,15-45 kg,14.1875,41.625,0.596467391304348,1.09442934782609,1.83485193621868
DLY,45 kg,15-45 kg,14.875,47.5,0.709239130434783,1.24225543478261,1.75153256704981
DLY,45 kg,15-45 kg,14.875,44.5714285714286,0.645574534161491,1.12036878881988,1.73546001202646
DLY,45 kg,15-45 kg,14.375,43.5,0.633152173913043,1.23967391304348,1.95793991416309
DLY,45 kg,15-45 kg,16.4375,47.4375,0.673913043478261,1.24551630434783,1.84818548387097
DLY,45 kg,15-45 kg,14.5625,40.9375,0.573369565217391,1.09225543478261,1.90497630331754
DLY,45 kg,15-45 kg,15.75,42.8571428571429,0.589285714285714,1.17612577639752,1.99584980237154
DLY,45 kg,15-45 kg,13.6875,41.6875,0.608695652173913,1.1575,1.90160714285714
DLY,45 kg,15-45 kg,14.875,45.0,0.654891304347826,1.07834497929606,1.64660146216163
DLY,45 kg,15-45 kg,14.5,44.2142857142857,0.645962732919255,1.20741459627329,1.86917067307693
