"Gene Set Name",Description,Group,Size,ES,NES,Pvalue,Padjust,"Rank at MAX","Leading edge"
ssc00220,"Arginine biosynthesis",TFBL45,32,0.49697733,2.145329,0,0,2296,12
ssc00270,"Cysteine and methionine metabolism",TFBL45,75,0.44316474,2.0690904,0,0,1216,18
ssc04370,"VEGF signaling pathway",DLYL45,195,-0.5524935,-1.7411337,0,0.0014354324,6568,104
ssc01521,"EGFR tyrosine kinase inhibitor resistance",DLYL45,234,-0.5310073,-1.6848947,0,0.0027432728,8413,136
ssc05214,Glioma,DLYL45,233,-0.5183096,-1.6497533,0,0.003527497,8357,134
ssc00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",TFBL45,16,0.60629106,2.0285726,0,0.0035992109,2120,6
ssc05100,"Bacterial invasion of epithelial cells",DLYL45,218,-0.5247682,-1.6559176,0,0.0036081253,7956,119
ssc04730,"Long-term depression",DLYL45,146,-0.53209895,-1.6561369,0,0.003968938,6568,70
ssc04062,"Chemokine signaling pathway",DLYL45,417,-0.5105592,-1.6385654,0,0.0040702377,7072,202
ssc03267,"Virion - Adenovirus",DLYL45,17,-0.65995944,-1.635038,0.0055555557,0.004094352,5436,10
ssc04360,"Axon guidance",DLYL45,447,-0.5037233,-1.6226227,0,0.0044111153,8371,246
ssc05223,"Non-small cell lung cancer",DLYL45,233,-0.5132012,-1.6231753,0,0.0046457793,7901,124
ssc04611,"Platelet activation",DLYL45,373,-0.5049912,-1.6151884,0,0.004980705,5497,155
ssc04670,"Leukocyte transendothelial migration",DLYL45,307,-0.5021027,-1.6021361,0,0.005124515,8375,167
ssc04070,"Phosphatidylinositol signaling system",DLYL45,155,-0.5132099,-1.6030371,0,0.0053807404,8357,87
ssc04625,"C-type lectin receptor signaling pathway",DLYL45,271,-0.50430375,-1.605595,0,0.005385514,7006,128
ssc05218,Melanoma,DLYL45,180,-0.5119443,-1.6082357,0,0.0053921337,8737,108
ssc04520,"Adherens junction",DLYL45,307,-0.4956488,-1.5877155,0,0.006092804,8063,158
ssc05032,"Morphine addiction",DLYL45,150,-0.5078477,-1.57662,0,0.0069384156,6888,61
ssc05231,"Choline metabolism in cancer",DLYL45,249,-0.48835826,-1.5612885,0,0.007381264,9802,151
ssc01522,"Endocrine resistance",DLYL45,245,-0.4918877,-1.5664685,0,0.007405966,9722,149
ssc04722,"Neurotrophin signaling pathway",DLYL45,328,-0.48869815,-1.5629479,0,0.007494586,7815,161
ssc04071,"Sphingolipid signaling pathway",DLYL45,323,-0.48905763,-1.5682523,0,0.0075677685,7337,153
ssc00350,"Tyrosine metabolism",TFBL45,66,0.4319054,1.946539,0,0.01012278,2662,22
ssc00250,"Alanine, aspartate and glutamate metabolism",TFBL45,63,0.39768267,1.7158848,0,0.023567485,2296,18
ssc00450,"Selenocompound metabolism",TFBL45,26,0.4595579,1.8001895,0,0.023600537,2826,10
ssc00380,"Tryptophan metabolism",TFBL45,98,0.3555762,1.7534348,0,0.026415635,3674,31
ssc00020,"Citrate cycle (TCA cycle)",TFBL45,46,0.37848008,1.6297836,0.03846154,0.032067254,2932,14
ssc00640,"Propanoate metabolism",TFBL45,82,0.34245184,1.6022707,0,0.032832514,2969,22
ssc00280,"Valine, leucine and isoleucine degradation",TFBL45,109,0.30444524,1.6346415,0,0.035063386,2969,26
ssc00591,"Linoleic acid metabolism",TFBL45,54,0.335796,1.5316433,0,0.044864792,1521,11
ssc00592,"alpha-Linolenic acid metabolism",TFBL45,32,0.38142905,1.5431857,0.01754386,0.045336023,2447,7
ssc04964,"Proximal tubule bicarbonate reclamation",TFBL45,58,0.28844166,1.4083184,0,0.075921625,1661,12
ssc00910,"Nitrogen metabolism",TFBL45,20,0.38580328,1.3877068,0.07608695,0.076335,2296,5
ssc00900,"Terpenoid backbone biosynthesis",TFBL45,28,0.3561048,1.3931652,0.035714287,0.078953125,2154,9
ssc00130,"Ubiquinone and other terpenoid-quinone biosynthesis",TFBL45,18,0.3995869,1.3547074,0.034883723,0.0893489,2380,7
ssc00330,"Arginine and proline metabolism",TFBL45,87,0.28457335,1.3571326,0,0.09199759,696,9
ssc00982,"Drug metabolism - cytochrome P450",TFBL45,74,0.27566856,1.3407906,0,0.09665237,2480,19
ssc00360,"Phenylalanine metabolism",TFBL45,38,0.3071458,1.2876954,0.057692308,0.11654371,2120,10
ssc00410,"beta-Alanine metabolism",TFBL45,80,0.25949532,1.301682,0,0.11707986,3362,19
