"Gene Set Name",Description,Group,Size,ES,NES,Pvalue,Padjust,"Rank at MAX","Leading edge"
ssc00061,"Fatty acid biosynthesis",TFBM45,43,0.51562643,1.9127597,0,0.019874422,3611,19
ssc00280,"Valine, leucine and isoleucine degradation",TFBM45,105,0.422789,1.8768243,0,0.020890784,3340,33
ssc00640,"Propanoate metabolism",TFBM45,82,0.45600575,1.9609017,0,0.023166269,2129,22
ssc00603,"Glycosphingolipid biosynthesis - globo and isoglobo series",DLYM45,36,-0.5519371,-1.6796498,0.0012919897,0.06514635,6375,18
ssc00740,"Riboflavin metabolism",DLYM45,15,-0.6499718,-1.6450831,0.011627907,0.066182785,5439,11
ssc00020,"Citrate cycle (TCA cycle)",TFBM45,47,0.43284658,1.6418341,0.009259259,0.0668558,2000,12
ssc00410,"beta-Alanine metabolism",TFBM45,82,0.3674435,1.6068617,0,0.07451662,4027,25
ssc01232,"Nucleotide metabolism",DLYM45,101,-0.45544901,-1.614044,0.002352941,0.0761685,5232,45
ssc00310,"Lysine degradation",TFBM45,137,0.36790538,1.6524732,0,0.07939373,4772,53
ssc00515,"Mannose type O-glycan biosynthesis",DLYM45,43,-0.5466785,-1.7046301,0.0027137042,0.09327099,4217,16
ssc00620,"Pyruvate metabolism",TFBM45,95,0.35973194,1.5408001,0,0.099982545,3340,27
ssc00380,"Tryptophan metabolism",TFBM45,92,0.35709786,1.5457085,0.0057142857,0.10878074,1548,16
ssc00650,"Butanoate metabolism",TFBM45,66,0.3767014,1.5121686,0.0054644807,0.11099527,4027,24
ssc01250,"Biosynthesis of nucleotide sugars",DLYM45,47,-0.47835723,-1.5377296,0.01164295,0.15904838,4162,21
ssc00250,"Alanine, aspartate and glutamate metabolism",TFBM45,64,0.3575592,1.4486225,0.01843318,0.15955202,3145,18
ssc04136,"Autophagy - other",TFBM45,65,0.3482779,1.4218795,0.015625,0.1883777,3917,23
ssc04137,"Mitophagy - animal",TFBM45,267,0.28024837,1.4060426,0.018518519,0.20020069,2891,70
ssc04928,"Parathyroid hormone synthesis, secretion and action",TFBM45,288,0.2644777,1.3563266,0,0.2346564,2436,52
ssc04215,"Apoptosis - multiple species",DLYM45,72,-0.42118764,-1.4372779,0.023341523,0.2407527,7828,43
ssc04140,"Autophagy - animal",TFBM45,403,0.2616283,1.3605467,0,0.24292621,2479,89
ssc03082,"ATP-dependent chromatin remodeling",TFBM45,203,0.2729016,1.3333169,0,0.24505422,3350,51
ssc03060,"Protein export",DLYM45,28,-0.49783868,-1.4448231,0.04945055,0.2461948,4156,12
ssc00071,"Fatty acid degradation",TFBM45,88,0.3188622,1.3361198,0.03797468,0.255303,4027,29
ssc04931,"Insulin resistance",TFBM45,265,0.2752682,1.3634,0,0.25676945,3145,67
ssc03015,"mRNA surveillance pathway",TFBM45,170,0.27248788,1.3037173,0,0.26001048,4131,53
ssc01522,"Endocrine resistance",TFBM45,242,0.26436606,1.3181285,0,0.26029307,3150,60
ssc00601,"Glycosphingolipid biosynthesis - lacto and neolacto series",DLYM45,56,-0.44672012,-1.4627398,0.024783147,0.26085132,4217,20
ssc04960,"Aldosterone-regulated sodium reabsorption",TFBM45,107,0.29437664,1.3081949,0.047945205,0.26517317,1840,24
ssc04115,"p53 signaling pathway",DLYM45,183,-0.38218105,-1.4477264,0.0010799136,0.26877627,5753,73
ssc04130,"SNARE interactions in vesicular transport",DLYM45,38,-0.45762017,-1.4167801,0.044,0.26891539,4677,23
ssc00520,"Amino sugar and nucleotide sugar metabolism",DLYM45,65,-0.4372853,-1.4751027,0.024096385,0.26901835,7445,33
ssc04950,"Maturity onset diabetes of the young",DLYM45,62,-0.41334805,-1.3723631,0.05459057,0.3351037,4690,19
ssc01040,"Biosynthesis of unsaturated fatty acids",DLYM45,47,-0.43409467,-1.3746933,0.054054055,0.35352397,7867,22
ssc00514,"Other types of O-glycan biosynthesis",DLYM45,65,-0.41510034,-1.3823735,0.04385965,0.35381898,4392,23
ssc00563,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",DLYM45,30,-0.45998478,-1.3582393,0.09446694,0.36229074,6907,15
ssc05340,"Primary immunodeficiency",DLYM45,118,-0.3646275,-1.3330741,0.03403756,0.43859112,7948,60
ssc00512,"Mucin type O-glycan biosynthesis",DLYM45,56,-0.40387237,-1.3208019,0.0793854,0.4666757,4364,20
ssc00100,"Steroid biosynthesis",DLYM45,37,-0.42352572,-1.3075758,0.12382234,0.503236,3625,18
ssc00533,"Glycosaminoglycan biosynthesis - keratan sulfate",DLYM45,33,-0.43310466,-1.2947307,0.117489986,0.51572335,4217,18
ssc04721,"Synaptic vesicle cycle",DLYM45,151,-0.34717894,-1.2972094,0.039149888,0.5300403,4852,49
