Category,Gene ID,Gene Name,Description,FDR,DLYL15,DLYL45,DLYL75,DLYL105,TFBL15,TFBL45,TFBL75,TFBL105,DLY peak,TFB peak,DLY75 rank in DLY,TFB45 rank in TFB,log2(DLY75/non75),log2(TFB45/non45),log2(DLY75/DLY45),log2(TFB45/TFB15),log2(DLY105/DLY75),log2(TFB105/TFB45),Pattern,FDR<0.05,z_DLYL15,z_DLYL45,z_DLYL75,z_DLYL105,z_TFBL15,z_TFBL45,z_TFBL75,z_TFBL105
上游合成：LA→AA,ENSSSCG00000001045,ELOVL2,ELOVL fatty acid elongase 2 [Source:VGNC Symbol;Acc:VGNC:87658],2.0799872395169e-07,8.433333,2.92,1.568333,0.075,4.436667,1.026667,0.443333,0.896667,DLY15,TFB15,3,2,-0.905,-0.5296,-0.61,-1.4236,-1.2565,-0.0956,高PD窗口不一致/不突出,Yes,1.8379,0.5365,-0.0901,-1.3808,1.0212,-0.4411,-0.9442,-0.5394
上游合成：LA→AA,ENSSSCG00000024149,ELOVL5,ELOVL fatty acid elongase 5 [Source:VGNC Symbol;Acc:VGNC:87661],2.1653482360814e-05,151.933333,99.246667,93.506667,13.368333,105.111667,104.02,89.423333,113.088333,DLY15,TFB105,3,3,0.0837,0.0205,-0.0851,-0.0149,-2.7175,0.1195,高PD窗口不一致/不突出,Yes,0.8844,0.2655,0.1791,-2.5811,0.3488,0.3337,0.1144,0.4551
上游合成：LA→AA,ENSSSCG00000036236,ELOVL6,ELOVL fatty acid elongase 6 [Source:VGNC Symbol;Acc:VGNC:87662],7.194950382984e-05,79.156667,41.586667,44.415,5.675,31.266667,23.986667,25.863333,31.238333,DLY15,TFB15,2,4,0.0742,-0.2856,0.0928,-0.3689,-2.7663,0.3676,DLY75偏高，TFB45不突出,Yes,1.4523,0.5061,0.6023,-2.2665,0.0909,-0.2916,-0.1833,0.0896
上游合成：LA→AA,ENSSSCG00000024015,FADS1,fatty acid desaturase 1 [Source:NCBI gene (formerly Entrezgene);Acc:444995],0.064752118147845,71.66,127.355,102.741667,10.756667,39.201667,98.088333,121.195,94.803333,DLY45,TFB75,2,2,0.5487,0.2033,-0.3071,1.3015,-3.1414,-0.0486,TFB45与DLY75共同偏高,No,0.0633,0.8184,0.5359,-2.3537,-0.7221,0.475,0.7531,0.4302
上游合成：LA→AA,ENSSSCG00000013072,FADS2,fatty acid desaturase 2 [Source:NCBI gene (formerly Entrezgene);Acc:444997],0.010169228806383,103.8,132.105,151.023333,16.661667,81.031667,90.686667,109.056667,147.313333,DLY75,TFB105,1,3,0.8356,-0.3075,0.1917,0.1605,-3.1056,0.6939,DLY75偏高，TFB45不突出,Yes,0.2208,0.5875,0.7913,-2.5101,-0.1548,0.0158,0.2959,0.7534
上游合成：LA→AA,ENSSSCG00000017226,FADS6,fatty acid desaturase 6 [Source:VGNC Symbol;Acc:VGNC:87878],0.00048636983175199,30.241667,55.25,52.751667,19.14,33.168333,43.78,36.451667,40.145,DLY45,TFB45,2,1,0.5832,0.2526,-0.0655,0.3902,-1.4162,-0.1221,TFB45与DLY75共同偏高,Yes,-0.6479,1.2597,1.1124,-2.0722,-0.3574,0.52,-0.0598,0.2453
AA活化/膜重酰化：Lands cycle,ENSSSCG00000015784,ACSL1,acyl-CoA synthetase long chain family member 1 [Source:VGNC Symbol;Acc:VGNC:96294],0.00065424215021378,490.68,428.235,435.05,103.778333,333.103333,389.388333,408.686667,511.761667,DLY15,TFB105,2,3,0.3509,-0.1015,0.0227,0.2246,-2.0572,0.3934,DLY75偏高，TFB45不突出,Yes,0.6668,0.3837,0.4165,-2.5554,-0.1385,0.186,0.2866,0.7543
AA活化/膜重酰化：Lands cycle,ENSSSCG00000016223,ACSL3,acyl-CoA synthetase long chain family member 3 [Source:VGNC Symbol;Acc:VGNC:96295],0.00080560192609873,52.318333,38.503333,25.65,3.963333,42.305,31.666667,34.198333,70.893333,DLY15,TFB105,3,4,-0.2905,-0.6179,-0.5678,-0.4067,-2.4248,1.138,高PD窗口不一致/不突出,Yes,0.6919,0.2949,-0.226,-2.4505,0.4166,0.0434,0.1422,1.0875
AA活化/膜重酰化：Lands cycle,ENSSSCG00000012583,ACSL4,acyl-CoA synthetase long chain family member 4 [Source:VGNC Symbol;Acc:VGNC:85033],0.022185516681132,36.213333,26.448333,47.041667,12.558333,22.456667,21.61,32.626667,34.003333,DLY75,TFB105,1,4,0.8817,-0.4411,0.8076,-0.053,-1.8251,0.6305,DLY75偏高，TFB45不突出,Yes,0.7497,-0.0873,1.452,-2.0267,-0.5194,-0.6205,0.471,0.5813
AA活化/膜重酰化：Lands cycle,ENSSSCG00000031789,ACSL5,acyl-CoA synthetase long chain family member 5 [Source:VGNC Symbol;Acc:VGNC:85034],1.698276808343e-06,135.41,76.296667,81.185,8.458333,82.461667,60.846667,61.235,80.663333,DLY15,TFB15,2,4,0.1438,-0.2932,0.0885,-0.4324,-3.1192,0.401,DLY75偏高，TFB45不突出,Yes,1.0599,0.2983,0.3805,-2.5186,0.4012,-0.0008,0.0076,0.3719
AA活化/膜重酰化：Lands cycle,ENSSSCG00000038081,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:VGNC Symbol;Acc:VGNC:85185],2.4458997400105e-06,24.24,17.138333,11.84,2.455,22.021667,21.583333,20.02,20.363333,DLY15,TFB15,3,2,-0.2819,0.0508,-0.4984,-0.0277,-1.8939,-0.0801,TFB45偏高，DLY75不突出,Yes,0.7207,0.1838,-0.3777,-2.511,0.5712,0.5399,0.4234,0.4497
AA活化/膜重酰化：Lands cycle,ENSSSCG00000025901,LCLAT1,lysocardiolipin acyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100217396],4.7198422515967e-05,7.596667,5.96,5.978333,0.7,6.188333,4.351667,5.213333,6.403333,DLY15,TFB105,2,4,0.2788,-0.3739,0.0038,-0.4257,-2.0373,0.4682,DLY75偏高，TFB45不突出,Yes,0.8244,0.3847,0.3902,-2.5503,0.4519,-0.1625,0.1484,0.5133
AA活化/膜重酰化：Lands cycle,ENSSSCG00000017116,LPCAT1,lysophosphatidylcholine acyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:89788],5.3425664565365e-07,2.853333,1.585,1.616667,0.723333,2.126667,0.746667,1.298333,1.79,DLY15,TFB15,2,4,-0.0562,-0.6487,0.0176,-0.84,-0.6025,0.6757,高PD窗口不一致/不突出,Yes,1.6718,0.1155,0.163,-1.4651,0.8572,-1.4127,-0.3427,0.413
AA活化/膜重酰化：Lands cycle,ENSSSCG00000002828,LPCAT2,lysophosphatidylcholine acyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:89789],3.6533163405475e-08,6.908333,1.833333,2.206667,0.241667,3.581667,0.783333,1.675,2.2,DLY15,TFB15,2,4,-0.3169,-0.9668,0.1786,-1.3613,-1.3688,0.8435,高PD窗口不一致/不突出,Yes,1.8636,-0.0972,0.1392,-1.6732,0.8209,-0.9816,-0.2071,0.1353
AA活化/膜重酰化：Lands cycle,ENSSSCG00000027205,LPCAT3,lysophosphatidylcholine acyltransferase 3 [Source:VGNC Symbol;Acc:VGNC:89790],4.295065020773e-07,40.458333,21.816667,22.171667,3.091667,24.188333,22.44,22.051667,17.525,DLY15,TFB15,2,2,0.024,0.0748,0.0223,-0.1038,-2.5016,-0.3395,TFB45与DLY75共同偏高,Yes,1.1788,0.2332,0.2576,-2.488,0.3898,0.2759,0.2494,-0.0967
AA活化/膜重酰化：Lands cycle,ENSSSCG00000002235,LPCAT4,lysophosphatidylcholine acyltransferase 4 [Source:VGNC Symbol;Acc:VGNC:89791],8.1958721030816e-06,7.658333,7.505,8.725,3.245,7.2,6.44,6.436667,8.96,DLY75,TFB105,1,3,0.4466,-0.1976,0.1934,-0.1403,-1.1959,0.4208,DLY75偏高，TFB45不突出,Yes,0.4146,0.3435,0.8775,-2.4253,0.1979,-0.1896,-0.1914,0.9727
AA活化/膜重酰化：Lands cycle,ENSSSCG00000001078,MBOAT1,membrane bound O-acyltransferase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:90057],0.014973619577512,2.735,1.873333,1.74,1.755,1.778333,0.838333,1.358333,1.931667,DLY15,TFB105,4,4,-0.1879,-0.5489,-0.0685,-0.5958,0.0079,0.6733,高PD窗口不一致/不突出,Yes,1.7155,0.3221,0.0696,0.0986,0.1434,-2.0507,-0.7273,0.4288
AA活化/膜重酰化：Lands cycle,ENSSSCG00000023539,MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:VGNC Symbol;Acc:VGNC:90058],0.03295323817165,0.453333,0.33,0.308333,0.088333,0.32,0.168333,0.176667,0.28,DLY15,TFB15,3,4,0.0197,-0.1077,-0.0237,-0.1761,-0.2656,0.1317,高PD窗口不一致/不突出,Yes,1.6536,0.6206,0.4293,-1.7152,0.5327,-0.889,-0.8062,0.1743
AA活化/膜重酰化：Lands cycle,ENSSSCG00000003267,MBOAT7,membrane bound O-acyltransferase domain containing 7 [Source:VGNC Symbol;Acc:VGNC:90059],2.2925711401211e-06,11.09,9.581667,9.141667,3.523333,8.213333,9.976667,6.83,9.353333,DLY15,TFB45,3,1,0.1619,0.2654,-0.0613,0.2526,-1.1648,-0.0843,TFB45偏高，DLY75不突出,Yes,0.9658,0.5082,0.3624,-2.4104,0.0327,0.6341,-0.526,0.4333
膜磷脂释放AA,ENSSSCG00000013079,DAGLA,diacylglycerol lipase alpha [Source:VGNC Symbol;Acc:VGNC:87152],0.00048308308369453,0.256667,0.138333,0.196667,0.065,0.2,0.068333,0.12,0.121667,DLY15,TFB15,2,4,0.0532,-0.1028,0.0721,-0.1677,-0.1682,0.0703,DLY75偏高，TFB45不突出,Yes,1.7202,-0.093,0.8232,-1.3139,0.8742,-1.2566,-0.3907,-0.3634
膜磷脂释放AA,ENSSSCG00000027288,DAGLB,diacylglycerol lipase beta [Source:VGNC Symbol;Acc:VGNC:87153],6.0372196991237e-10,2.76,1.391667,1.673333,0.55,2.48,1.135,1.261667,2.195,DLY15,TFB15,2,4,0.0584,-0.4805,0.1606,-0.7049,-0.7864,0.5816,DLY75偏高，TFB45不突出,Yes,1.3702,-0.2861,0.1215,-1.874,1.0869,-0.7017,-0.4907,0.7741
膜磷脂释放AA,ENSSSCG00000053405,PLA2G12A,phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554],2.6272287711503e-05,27.1,20.021667,25.31,2.003333,25.878333,23.945,21.548333,33.121667,DLY15,TFB105,2,3,0.5986,-0.1589,0.3237,-0.1077,-3.131,0.4519,DLY75偏高，TFB45不突出,Yes,0.4785,0.0791,0.3879,-2.5989,0.4173,0.3146,0.1756,0.7457
膜磷脂释放AA,ENSSSCG00000010291,PLA2G12B,phospholipase A2 group XIIB [Source:VGNC Symbol;Acc:VGNC:91489],1.0199487592187e-05,88.8,70.625,77.26,6.956667,66.276667,68.408333,68.746667,79.358333,DLY15,TFB105,2,3,0.471,-0.0621,0.1278,0.045,-3.298,0.2113,DLY75偏高，TFB45不突出,Yes,0.6189,0.3161,0.4347,-2.6266,0.2322,0.274,0.2805,0.4702
膜磷脂释放AA,ENSSSCG00000057510,PLA2G15,phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163],8.3265972745439e-07,8.916667,5.198333,5.956667,1.791667,6.805,3.215,5.263333,7.688333,DLY15,TFB105,2,4,0.1425,-0.8477,0.1665,-0.8889,-1.3173,1.0435,DLY75偏高，TFB45不突出,Yes,1.2266,0.0063,0.306,-2.0651,0.6048,-0.9951,0.0334,0.8832
膜磷脂释放AA,ENSSSCG00000031106,PLA2G2D,phospholipase A2 group IID [Source:NCBI gene (formerly Entrezgene);Acc:100512662],0.077491379379491,2.076667,0.626667,0.695,0.05,1.04,0.16,0.573333,0.396667,DLY15,TFB15,2,4,-0.1782,-0.5257,0.0594,-0.8144,-0.6909,0.2679,高PD窗口不一致/不突出,No,2.0519,0.0226,0.1536,-1.3713,0.7436,-1.054,-0.0836,-0.4628
膜磷脂释放AA,ENSSSCG00000023351,PLA2G4A,phospholipase A2 group IVA [Source:VGNC Symbol;Acc:VGNC:91495],2.6351429844459e-05,4.375,1.748333,2.05,0.346667,2.718333,0.795,1.608333,2.788333,DLY15,TFB105,2,4,-0.0496,-0.9095,0.1503,-1.0507,-1.1794,1.0776,高PD窗口不一致/不突出,Yes,1.5742,-0.063,0.1912,-1.8041,0.6748,-1.1027,-0.1906,0.7203
膜磷脂释放AA,ENSSSCG00000000110,PLA2G6,phospholipase A2 group VI [Source:VGNC Symbol;Acc:VGNC:91500],0.0044827661523457,1.515,1.536667,2.365,0.955,1.621667,1.275,1.475,1.83,DLY75,TFB105,1,4,0.5268,-0.2159,0.4077,-0.2046,-0.7834,0.3149,DLY75偏高，TFB45不突出,Yes,-0.0774,-0.0191,1.9013,-1.7891,0.2049,-0.7589,-0.1863,0.7246
膜磷脂释放AA,ENSSSCG00000001723,PLA2G7,phospholipase A2 group VII [Source:VGNC Symbol;Acc:VGNC:91501],1.1828676456633e-07,20.436667,12.633333,14.27,1.1,13.443333,7.613333,5.095,6.368333,DLY15,TFB15,2,2,0.3015,-0.111,0.1636,-0.7458,-2.8622,-0.2252,DLY75偏高，TFB45不突出,Yes,1.2342,0.5719,0.7378,-2.1654,0.6564,-0.1001,-0.6062,-0.3285
膜磷脂释放AA,ENSSSCG00000011750,PLD1,phospholipase D1 [Source:VGNC Symbol;Acc:VGNC:91525],0.016653312557685,1.861667,1.548333,2.46,0.573333,1.99,1.22,1.566667,2.215,DLY75,TFB105,1,4,0.5718,-0.3973,0.4412,-0.4296,-1.1369,0.5343,DLY75偏高，TFB45不突出,Yes,0.3904,-0.108,1.2064,-2.1806,0.5789,-0.7008,-0.0772,0.8908
膜磷脂释放AA,ENSSSCG00000017912,PLD2,phospholipase D2 [Source:VGNC Symbol;Acc:VGNC:91526],0.00076913318380061,1.595,1.041667,1.6,0.401667,1.081667,0.748333,1.021667,1.265,DLY75,TFB105,1,4,0.3693,-0.28,0.3488,-0.2518,-0.8914,0.3735,DLY75偏高，TFB45不突出,Yes,1.2132,-0.0417,1.2232,-2.0096,0.0598,-0.8532,-0.0932,0.5015
膜磷脂释放AA,ENSSSCG00000025109,PLD3,phospholipase D family member 3 [Source:VGNC Symbol;Acc:VGNC:91527],3.6563786102639e-07,25.76,17.42,18.573333,3.158333,23.37,13.386667,13.493333,21.165,DLY15,TFB15,2,4,0.2511,-0.4998,0.0876,-0.7604,-2.2348,0.6236,DLY75偏高，TFB45不突出,Yes,0.9189,0.2433,0.3532,-2.449,0.7497,-0.2038,-0.1904,0.5781
膜磷脂释放AA,ENSSSCG00000002554,PLD4,phospholipase D family member 4 [Source:VGNC Symbol;Acc:VGNC:91528],9.4600638538547e-05,2.81,2.321667,1.913333,0.988333,1.893333,1.355,1.418333,2.206667,DLY15,TFB105,3,4,-0.0614,-0.2699,-0.1892,-0.297,-0.5511,0.4453,高PD窗口不一致/不突出,Yes,1.5398,0.8471,0.1846,-1.7447,0.1498,-0.8899,-0.7559,0.6691
