"Species Latin Name","Sample productive name","Sample Description","Sample Initial Name","Sample Analysis Name","Group Name"
Sus_scrofa,m_1_1_1,样本信息表,m_15_1_1,DLYM15_1,DLYM15
Sus_scrofa,m_1_1_2,样本信息表,m_15_1_2,DLYM15_2,DLYM15
Sus_scrofa,m_1_1_3,样本信息表,m_15_1_3,DLYM15_3,DLYM15
Sus_scrofa,m_1_1_4,样本信息表,m_15_1_4,DLYM15_4,DLYM15
Sus_scrofa,m_1_1_5,样本信息表,m_15_1_5,DLYM15_5,DLYM15
Sus_scrofa,m_1_1_6,样本信息表,m_15_1_6,DLYM15_6,DLYM15
Sus_scrofa,m_1_2_1,样本信息表,m_15_2_1,TFBM15_1,HZM15
Sus_scrofa,m_1_2_2,样本信息表,m_15_2_2,TFBM15_2,HZM15
Sus_scrofa,m_1_2_3,样本信息表,m_15_2_3,TFBM15_3,HZM15
Sus_scrofa,m_1_2_4,样本信息表,m_15_2_4,TFBM15_4,HZM15
Sus_scrofa,m_1_2_5,样本信息表,m_15_2_5,TFBM15_5,HZM15
Sus_scrofa,m_1_2_6,样本信息表,m_15_2_6,TFBM15_6,HZM15
Sus_scrofa,BJ_2_1_1,样本信息表,BJ_2_1_1,DLYM45_1,DLYM45
Sus_scrofa,BJ_2_1_2,样本信息表,BJ_2_1_2,DLYM45_2,DLYM45
Sus_scrofa,BJ_2_1_3,样本信息表,BJ_2_1_3,DLYM45_3,DLYM45
Sus_scrofa,BJ_2_1_4,样本信息表,BJ_2_1_4,DLYM45_4,DLYM45
Sus_scrofa,BJ_2_1_5,样本信息表,BJ_2_1_5,DLYM45_5,DLYM45
Sus_scrofa,BJ_2_1_6,样本信息表,BJ_2_1_6,DLYM45_6,DLYM45
Sus_scrofa,BJ_2_2_1,样本信息表,BJ_2_2_1,TFBM45_1,HZM45
Sus_scrofa,BJ_2_2_2,样本信息表,BJ_2_2_2,TFBM45_2,HZM45
Sus_scrofa,BJ_2_2_3,样本信息表,BJ_2_2_3,TFBM45_3,HZM45
Sus_scrofa,BJ_2_2_4,样本信息表,BJ_2_2_4,TFBM45_4,HZM45
Sus_scrofa,BJ_2_2_5,样本信息表,BJ_2_2_5,TFBM45_5,HZM45
Sus_scrofa,BJ_2_2_6,样本信息表,BJ_2_2_6,TFBM45_6,HZM45
Sus_scrofa,L_1_1_1,样本信息表,L_15_1_1,DLYL15_1,DLYL15
Sus_scrofa,L_1_1_2,样本信息表,L_15_1_2,DLYL15_2,DLYL15
Sus_scrofa,L_1_1_3,样本信息表,L_15_1_3,DLYL15_3,DLYL15
Sus_scrofa,L_1_1_4,样本信息表,L_15_1_4,DLYL15_4,DLYL15
Sus_scrofa,L_1_1_5,样本信息表,L_15_1_5,DLYL15_5,DLYL15
Sus_scrofa,L_1_1_6,样本信息表,L_15_1_6,DLYL15_6,DLYL15
Sus_scrofa,L_1_2_1,样本信息表,L_15_2_1,TFBL15_1,HZL15
Sus_scrofa,L_1_2_2,样本信息表,L_15_2_2,TFBL15_2,HZL15
Sus_scrofa,L_1_2_3,样本信息表,L_15_2_3,TFBL15_3,HZL15
Sus_scrofa,L_1_2_4,样本信息表,L_15_2_4,TFBL15_4,HZL15
Sus_scrofa,L_1_2_5,样本信息表,L_15_2_5,TFBL15_5,HZL15
Sus_scrofa,L_1_2_6,样本信息表,L_15_2_6,TFBL15_6,HZL15
Sus_scrofa,L_2_1_1,样本信息表,L_45_1_1,DLYL45_1,DLYL45
Sus_scrofa,L_2_1_2,样本信息表,L_45_1_2,DLYL45_2,DLYL45
Sus_scrofa,L_2_1_3,样本信息表,L_45_1_3,DLYL45_3,DLYL45
Sus_scrofa,L_2_1_4,样本信息表,L_45_1_4,DLYL45_4,DLYL45
Sus_scrofa,L_2_1_5,样本信息表,L_45_1_5,DLYL45_5,DLYL45
Sus_scrofa,L_2_1_6,样本信息表,L_45_1_6,DLYL45_6,DLYL45
Sus_scrofa,L_2_2_1,样本信息表,L_45_2_1,TFBL45_1,HZL45
Sus_scrofa,L_2_2_2,样本信息表,L_45_2_2,TFBL45_2,HZL45
Sus_scrofa,L_2_2_3,样本信息表,L_45_2_3,TFBL45_3,HZL45
Sus_scrofa,L_2_2_4,样本信息表,L_45_2_4,TFBL45_4,HZL45
Sus_scrofa,L_2_2_5,样本信息表,L_45_2_5,TFBL45_5,HZL45
Sus_scrofa,L_2_2_6,样本信息表,L_45_2_6,TFBL45_6,HZL45
Sus_scrofa,m_1_1_1,样本信息表,m_1_1_1,DLYM75_1,DLYM75
Sus_scrofa,m_1_1_2,样本信息表,m_1_1_2,DLYM75_2,DLYM75
Sus_scrofa,m_1_1_3,样本信息表,m_1_1_3,DLYM75_3,DLYM75
Sus_scrofa,m_1_1_4,样本信息表,m_1_1_4,DLYM75_4,DLYM75
Sus_scrofa,m_1_1_5,样本信息表,m_1_1_5,DLYM75_5,DLYM75
Sus_scrofa,m_1_1_6,样本信息表,m_1_1_6,DLYM75_6,DLYM75
Sus_scrofa,m_1_2_1,样本信息表,m_1_2_1,TFBM75_1,HZM75
Sus_scrofa,m_1_2_2,样本信息表,m_1_2_2,TFBM75_2,HZM75
Sus_scrofa,m_1_2_3,样本信息表,m_1_2_3,TFBM75_3,HZM75
Sus_scrofa,m_1_2_4,样本信息表,m_1_2_4,TFBM75_4,HZM75
Sus_scrofa,m_1_2_5,样本信息表,m_1_2_5,TFBM75_5,HZM75
Sus_scrofa,m_1_2_6,样本信息表,m_1_2_6,TFBM75_6,HZM75
Sus_scrofa,m_2_1_1,样本信息表,m_2_1_1,DLYM105_1,DLYM105
Sus_scrofa,m_2_1_2,样本信息表,m_2_1_2,DLYM105_2,DLYM105
