metabolite,group,rep,value,z_vs_other_stages,other_stages_mean
Lys,TFB45,4,0.0264,-3.1305252544469475,0.27704
ALT/AST,TFB45,1,5.14,7.646705963606132,1.6085714285714285
ALT/AST,TFB45,2,3.02,3.0562077233183085,1.6085714285714285
ALT/AST,TFB45,3,3.59,4.290445457735317,1.6085714285714285
ALT/AST,TFB45,4,5.67,8.794330523678088,1.6085714285714285
ALT/AST,TFB45,6,5.01,7.365213146984709,1.6085714285714285
ALT/AST,TFB45,7,4.34,5.914442476705067,1.6085714285714285
GLU,TFB45,3,3.709,-3.344759980499034,6.817500000000001
TC,TFB45,4,6.404,4.377839874349472,3.720875
TC,TFB45,5,6.131,3.9324076691046903,3.720875
TC,TFB45,6,6.526,4.576897489880107,3.720875
TC,TFB45,8,5.607,3.0774388942026176,3.720875
