,correlation,pvalue,abs_corr,Module,GS_PD
RCN1,0.9031240865629921,1.6639411282711624e-18,0.9031240865629921,lightcyan,0.753001074635463
NCALD,0.8849879235868798,7.046753540601327e-17,0.8849879235868798,green,0.693524665318472
P3H4,0.8821054564240979,1.2058744894798034e-16,0.8821054564240979,green,0.793986066094206
LAMA4,0.8805759321179936,1.5946052924962824e-16,0.8805759321179936,green,0.686639747244581
LAMB1,0.8725308505798326,6.528448396587198e-16,0.8725308505798326,green,0.714057474286798
MMP19,0.8708114753159539,8.715225491975496e-16,0.8708114753159539,green,0.70468457209481
RRBP1,0.8700057500199329,9.96462563695051e-16,0.8700057500199329,green,0.674331014017508
FSTL1,0.8644215053498674,2.4624502370745712e-15,0.8644215053498674,green,0.598799809837252
GPX7,0.863519943449214,2.8390150930350424e-15,0.863519943449214,lightcyan,0.809916038267539
EPB41L2,0.8586197671961999,6.047181530049443e-15,0.8586197671961999,green,0.652396456112092
OAF,0.8558476858815962,9.160700498386422e-15,0.8558476858815962,green,0.614318015527843
CAP1,0.8483325278095326,2.7079771335048298e-14,0.8483325278095326,green,0.58102234074321
MARCKSL1,0.8451064147775647,4.236428883913503e-14,0.8451064147775647,green,0.763426539754458
PTGFRN,0.8445759276050464,4.5555058063610686e-14,0.8445759276050464,green,0.645715678822548
ITM2C,0.8434076664707535,5.340432300566516e-14,0.8434076664707535,green,0.634303063648319
MMP14,0.8426283587918771,5.933610826495473e-14,0.8426283587918771,green,0.629984409923186
NID2,0.8403165074998047,8.083065268096496e-14,0.8403165074998047,green,0.662646852453898
CCDC80,0.8399354803503891,8.501582341909184e-14,0.8399354803503891,green,0.601622966139421
PDGFD,0.8393564921735688,9.177087238489877e-14,0.8393564921735688,green,0.656246283307872
EMILIN2,0.8386366311205256,1.0088046130893283e-13,0.8386366311205256,green,0.611279399522492
ENSSSCG00000038151,0.8368489172583436,1.2735597639564123e-13,0.8368489172583436,green,0.682888647700751
YWHAQ,0.8359249386759833,1.4350134376246768e-13,0.8359249386759833,green,0.648376840412207
CCDC69,0.8358699732792589,1.4452052436253306e-13,0.8358699732792589,green,0.8098913876268
IQGAP1,0.8356828809688959,1.4804131326133574e-13,0.8356828809688959,green,0.558331029093906
SLC15A3,0.8356675259896844,1.4833385304884732e-13,0.8356675259896844,greenyellow,0.670204752550488
COL4A1,0.8352848900047682,1.5580325981386681e-13,0.8352848900047682,green,0.756697786651759
