"Gene","Module","GS_Breed","GS_Weight","GS_PD","GS_Urea","GS_Breed_x_Weight","kME_module"
"COX3","yellow",0.298151129561413,0.508835660349704,-0.246251201260808,-0.1153484072951,0.651267609641186,0.88668868964141
"ALB","turquoise",-0.392323892790481,-0.0775526125058908,-0.139803866400159,0.387921631977026,-0.449764398303614,0.707499959734422
"ENSSSCG00000024911","turquoise",-0.149114508898151,-0.826101947937057,0.511127960424693,-0.289957229718385,-0.479826117917286,0.461865703704099
"COX1","yellow",0.293095400446408,0.473599869169284,-0.213795049348862,-0.112752665455207,0.611938927748183,0.955183208426547
"COX2","yellow",0.285619469127686,0.499707435097103,-0.251906777690725,-0.119218415881657,0.619909806620049,0.897533995362034
"ATP8","yellow",0.285976753075678,0.313674229178277,-0.091554186729847,-0.110992530919036,0.499729123250365,0.215753068542205
"ND3","yellow",0.222904297443378,0.489736791624786,-0.269156760988053,-0.0678519086151286,0.608848817804455,0.843765479547626
"ND4L","yellow",0.243362421731246,0.551123248152067,-0.313860951374065,-0.0565986479358764,0.585390983670297,0.943361817561089
"ATP6","yellow",0.283915487576138,0.50029461006883,-0.257285752389687,-0.115816390688457,0.602926341087053,0.889711999981912
"ENSSSCG00000050689","pink",0.00925089643885505,0.0335574600065091,0.0919549834971863,0.0861902073729305,0.056860990820737,0.767722230254751
"APOC3","brown",-0.157617412684932,-0.13044522015363,0.126379908106044,0.217182896398703,-0.210183924482862,0.719141467162675
"ND1","yellow",0.332022420396725,0.515976201752645,-0.233345268763691,-0.13490395778419,0.677360838922367,0.887867407059819
"CYTB","yellow",0.266350032550054,0.50697731009246,-0.260048740077651,-0.0856408067476182,0.605889335521735,0.893864250278092
"ND4","yellow",0.281885585400083,0.54031800860274,-0.286097486830325,-0.0913608092947227,0.624203876754651,0.936650049501104
"MT1A","turquoise",-0.259413488150606,-0.806382720470802,0.45253925851286,-0.193867355679603,-0.552414987528372,0.449337358411535
"ENSSSCG00000002749","brown",-0.371045591826677,-0.1560789627401,-0.000134958994067913,0.292210783752183,-0.442831371954128,0.719801291326729
"TF","turquoise",-0.157180281138997,-0.324081156198956,0.14960063881995,0.0545230913840971,-0.410632749135784,0.85442134103883
"SPOCK3","yellow",0.302972765179541,0.531145200905214,-0.263846403203851,-0.114198278405732,0.659335482251751,0.845995282538505
