"","Breed","Weight","PD","Urea","Breed_x_Weight"
"green",0.179842699401402,-0.709985152157439,0.6849655064392,-0.427831610316179,-0.202763581422815
"turquoise",-0.028638178571586,0.414583362745379,-0.352979074853556,0.221381990819037,0.0838668735754886
"magenta",-0.376717995609697,0.742564932978124,-0.803941620690789,0.632687674399482,-0.0658553546248937
"darkgrey",0.0357688121622547,-0.415180692170335,0.374622487736426,-0.177971178293424,-0.160416374127328
"black",-0.131786172435708,0.738623012334562,-0.655575117423397,0.410488693431396,0.221059709418834
"blue",-0.309315195220457,0.37997683799135,-0.469413265687185,0.423238745183977,-0.20672754507651
"greenyellow",0.274962218302594,-0.561131055226268,0.528729405397874,-0.499873641403307,-0.16687618615742
"darkgreen",-0.289831580697964,0.266473707749187,-0.369872345858973,0.333976241954733,-0.17962104843946
"tan",0.0564262826044164,0.857191106241128,-0.64641805176082,0.324890861166139,0.476807308305151
"brown",-0.460962202480667,0.421076417650487,-0.582667785248021,0.561762475700274,-0.28984421322992
"lightcyan",0.193321287231709,-0.767926124426217,0.677984435022229,-0.520996137830446,-0.24128215804977
"royalblue",0.269949577082638,-0.0601398856378199,0.199897023599884,-0.17331289577291,0.194972251261219
"darkorange",-0.420569783164769,-0.134362767771356,-0.188383588499969,0.0748763957638868,-0.477459662600487
"darkturquoise",-0.397710034126546,-0.341511021429558,-0.0166679092925921,-0.0745081127592337,-0.547463302363314
"lightgreen",0.230185714771434,-0.541507064433989,0.579360344296669,-0.385682804264323,-0.124221965793346
"orange",-0.12049164735529,-0.317259914763421,0.174229212895758,-0.0865374638076745,-0.165375210840231
"grey60",0.193312271796038,-0.267536739128294,0.369066085338478,-0.208735719421626,-0.0063623889463448
