"","Breed","Weight","PD","Urea","Breed_x_Weight"
"green",0.221274814432231,1.59565165760996e-08,7.88218132807522e-08,0.00241914061050514,0.166921613829193
"turquoise",0.846786202198432,0.00339290354021512,0.0138615899147422,0.13048740738476,0.570897301788586
"magenta",0.0083103456994363,1.52435312081484e-09,5.97220492979533e-12,1.40259523659317e-06,0.656525200055851
"darkgrey",0.809277289752807,0.00334250985386849,0.00870725978898061,0.226199025354211,0.276077364799361
"black",0.371923101094598,2.06255096265226e-09,4.25870874739392e-07,0.00375671563533488,0.1310625582613
"blue",0.0324130423255312,0.00772417614500302,0.000763221614176996,0.00272429724657053,0.158605296203
"greenyellow",0.0585688391743722,3.34224573148455e-05,0.000111919162993938,0.000297495117723404,0.256942491688597
"darkgreen",0.0456951040278949,0.067133637218875,0.00966808844337324,0.0203455278306894,0.221854096107907
"tan",0.70325398544504,7.49871096759935e-15,6.94305969396244e-07,0.0242538568262028,0.000612048939300374
"brown",0.000976389021016895,0.00287938380765936,1.39211220401305e-05,3.26032854176262e-05,0.045685239256134
"lightcyan",0.18799858219982,1.89613476239933e-10,1.19728095365846e-07,0.000146704886784844,0.098514668663166
"royalblue",0.0635133353764905,0.684708684932019,0.173129974105621,0.238782235972325,0.184182669420479
"darkorange",0.00291682786640629,0.362562813149782,0.199747023590897,0.613000189094944,0.000600101358090709
"darkturquoise",0.00512173402974797,0.0175204329925049,0.910472627923408,0.614752807720453,5.64993805862652e-05
"lightgreen",0.115498098847242,7.0524242819537e-05,1.59898010472061e-05,0.00678380895199566,0.400227965646038
"orange",0.414635088102392,0.0280054562870771,0.236270068967037,0.558652569179098,0.261307085231577
"grey60",0.18801957346157,0.0660094170323428,0.00983992919484661,0.154509824271788,0.965766589017446
