,Breed,Weight,PD,Urea,Breed_x_Weight
DLY_105kg_1,1.0,105.0,0.87,2.62,105.0
DLY_105kg_2,1.0,105.0,0.87,2.62,105.0
DLY_105kg_3,1.0,105.0,0.87,2.62,105.0
DLY_105kg_4,1.0,105.0,0.87,2.62,105.0
DLY_105kg_5,1.0,105.0,0.87,2.62,105.0
DLY_105kg_6,1.0,105.0,0.87,2.62,105.0
DLY_15kg_1,1.0,15.0,1.58,0.81,15.0
DLY_15kg_2,1.0,15.0,1.58,0.81,15.0
DLY_15kg_3,1.0,15.0,1.58,0.81,15.0
DLY_15kg_4,1.0,15.0,1.58,0.81,15.0
DLY_15kg_5,1.0,15.0,1.58,0.81,15.0
DLY_15kg_6,1.0,15.0,1.58,0.81,15.0
DLY_45kg_1,1.0,45.0,1.59,2.3,45.0
DLY_45kg_2,1.0,45.0,1.59,2.3,45.0
DLY_45kg_3,1.0,45.0,1.59,2.3,45.0
DLY_45kg_4,1.0,45.0,1.59,2.3,45.0
DLY_45kg_5,1.0,45.0,1.59,2.3,45.0
DLY_45kg_6,1.0,45.0,1.59,2.3,45.0
DLY_75kg_1,1.0,75.0,1.11,2.71,75.0
DLY_75kg_2,1.0,75.0,1.11,2.71,75.0
DLY_75kg_3,1.0,75.0,1.11,2.71,75.0
DLY_75kg_4,1.0,75.0,1.11,2.71,75.0
DLY_75kg_5,1.0,75.0,1.11,2.71,75.0
DLY_75kg_6,1.0,75.0,1.11,2.71,75.0
TFB_105kg_1,0.0,105.0,0.49,6.08,0.0
TFB_105kg_2,0.0,105.0,0.49,6.08,0.0
TFB_105kg_3,0.0,105.0,0.49,6.08,0.0
TFB_105kg_4,0.0,105.0,0.49,6.08,0.0
TFB_105kg_5,0.0,105.0,0.49,6.08,0.0
TFB_105kg_6,0.0,105.0,0.49,6.08,0.0
TFB_15kg_1,0.0,15.0,1.26,3.16,0.0
TFB_15kg_2,0.0,15.0,1.26,3.16,0.0
TFB_15kg_3,0.0,15.0,1.26,3.16,0.0
TFB_15kg_4,0.0,15.0,1.26,3.16,0.0
TFB_15kg_5,0.0,15.0,1.26,3.16,0.0
TFB_15kg_6,0.0,15.0,1.26,3.16,0.0
TFB_45kg_1,0.0,45.0,1.12,5.02,0.0
TFB_45kg_2,0.0,45.0,1.12,5.02,0.0
TFB_45kg_3,0.0,45.0,1.12,5.02,0.0
TFB_45kg_4,0.0,45.0,1.12,5.02,0.0
TFB_45kg_5,0.0,45.0,1.12,5.02,0.0
TFB_45kg_6,0.0,45.0,1.12,5.02,0.0
TFB_75kg_1,0.0,75.0,0.68,2.71,0.0
TFB_75kg_2,0.0,75.0,0.68,2.71,0.0
TFB_75kg_3,0.0,75.0,0.68,2.71,0.0
TFB_75kg_4,0.0,75.0,0.68,2.71,0.0
TFB_75kg_5,0.0,75.0,0.68,2.71,0.0
TFB_75kg_6,0.0,75.0,0.68,2.71,0.0
